train,val,test
normal_002,normal_001,test_001
normal_003,normal_007,test_002
normal_004,normal_013,test_003
normal_005,normal_019,test_004
normal_006,normal_022,test_005
normal_008,normal_026,test_006
normal_009,normal_031,test_007
normal_010,normal_036,test_008
normal_011,normal_041,test_009
normal_012,normal_046,test_010
normal_014,normal_051,test_011
normal_015,normal_057,test_012
normal_016,normal_061,test_013
normal_017,normal_066,test_014
normal_018,normal_073,test_015
normal_020,normal_076,test_016
normal_021,normal_081,test_017
normal_023,normal_089,test_018
normal_024,normal_093,test_019
normal_025,normal_100,test_020
normal_027,normal_105,test_021
normal_028,normal_107,test_022
normal_029,normal_112,test_023
normal_030,normal_117,test_024
normal_032,normal_125,test_025
normal_033,normal_127,test_026
normal_034,normal_132,test_027
normal_035,normal_138,test_028
normal_037,normal_143,test_029
normal_038,normal_148,test_030
normal_039,normal_152,test_031
normal_040,normal_157,test_032
normal_042,tumor_002,test_033
normal_043,tumor_007,test_034
normal_044,tumor_014,test_035
normal_045,tumor_018,test_036
normal_047,tumor_022,test_037
normal_048,tumor_027,test_038
normal_049,tumor_032,test_039
normal_050,tumor_038,test_040
normal_052,tumor_042,test_041
normal_053,tumor_048,test_042
normal_054,tumor_053,test_043
normal_055,tumor_057,test_044
normal_056,tumor_062,test_045
normal_058,tumor_068,test_046
normal_059,tumor_072,test_047
normal_060,tumor_077,test_048
normal_062,tumor_083,test_050
normal_063,tumor_088,test_051
normal_064,tumor_092,test_052
normal_065,tumor_097,test_053
normal_067,tumor_102,test_054
normal_068,tumor_107,test_055
normal_069,,test_056
normal_070,,test_057
normal_071,,test_058
normal_072,,test_059
normal_074,,test_060
normal_075,,test_061
normal_077,,test_062
normal_078,,test_063
normal_079,,test_064
normal_080,,test_065
normal_082,,test_066
normal_083,,test_067
normal_084,,test_068
normal_085,,test_069
normal_087,,test_070
normal_088,,test_071
normal_090,,test_072
normal_091,,test_073
normal_092,,test_074
normal_094,,test_075
normal_095,,test_076
normal_096,,test_077
normal_097,,test_078
normal_098,,test_079
normal_099,,test_080
normal_101,,test_081
normal_102,,test_082
normal_103,,test_083
normal_104,,test_084
normal_106,,test_085
normal_108,,test_086
normal_109,,test_087
normal_110,,test_088
normal_111,,test_089
normal_113,,test_090
normal_114,,test_091
normal_115,,test_092
normal_116,,test_093
normal_118,,test_094
normal_119,,test_095
normal_120,,test_096
normal_121,,test_097
normal_122,,test_098
normal_123,,test_099
normal_124,,test_100
normal_126,,test_101
normal_128,,test_102
normal_129,,test_103
normal_130,,test_104
normal_131,,test_105
normal_133,,test_106
normal_134,,test_107
normal_135,,test_108
normal_136,,test_109
normal_137,,test_110
normal_139,,test_111
normal_140,,test_112
normal_141,,test_113
normal_142,,test_114
normal_144,,test_115
normal_145,,test_116
normal_146,,test_117
normal_147,,test_118
normal_149,,test_119
normal_150,,test_120
normal_151,,test_121
normal_153,,test_122
normal_154,,test_123
normal_155,,test_124
normal_156,,test_125
normal_158,,test_126
normal_159,,test_127
normal_160,,test_128
tumor_001,,test_129
tumor_003,,test_130
tumor_004,,
tumor_005,,
tumor_006,,
tumor_008,,
tumor_009,,
tumor_010,,
tumor_011,,
tumor_012,,
tumor_013,,
tumor_015,,
tumor_016,,
tumor_017,,
tumor_019,,
tumor_020,,
tumor_021,,
tumor_023,,
tumor_024,,
tumor_025,,
tumor_026,,
tumor_028,,
tumor_029,,
tumor_030,,
tumor_031,,
tumor_033,,
tumor_034,,
tumor_035,,
tumor_036,,
tumor_037,,
tumor_039,,
tumor_040,,
tumor_041,,
tumor_043,,
tumor_044,,
tumor_045,,
tumor_046,,
tumor_047,,
tumor_049,,
tumor_050,,
tumor_051,,
tumor_052,,
tumor_054,,
tumor_055,,
tumor_056,,
tumor_058,,
tumor_059,,
tumor_060,,
tumor_061,,
tumor_063,,
tumor_064,,
tumor_065,,
tumor_066,,
tumor_067,,
tumor_069,,
tumor_070,,
tumor_071,,
tumor_073,,
tumor_074,,
tumor_075,,
tumor_076,,
tumor_078,,
tumor_079,,
tumor_080,,
tumor_081,,
tumor_082,,
tumor_084,,
tumor_085,,
tumor_086,,
tumor_087,,
tumor_089,,
tumor_090,,
tumor_091,,
tumor_093,,
tumor_094,,
tumor_095,,
tumor_096,,
tumor_098,,
tumor_099,,
tumor_100,,
tumor_101,,
tumor_103,,
tumor_104,,
tumor_105,,
tumor_106,,
tumor_108,,
tumor_109,,
tumor_110,,
tumor_111,,
